feature,coefficient
than,2.3892396639039264
since,2.3419671345075113
percent,2.031107877325856
countries,1.9262704333779448
day,1.856045134243525
more,1.8548977938649271
of,1.7414014014135528
georgia,1.7169472976470304
average,1.659970964545243
million,1.5965865222270141
and,1.5809622330354358
debt,1.5385423532247195
url,1.5280322619700675
still,1.4902039032813403
times,1.470490897402942
he,1.4646758080947773
fakenews,1.4265979809460747
propaganda,1.409370466980935
cut,1.3740653881242095
more than,1.283898775044453
three,1.2324671035407762
months,1.1901266100732117
up to,1.173352704671845
american,1.157681576766314
in,1.135047520158312
to do,1.127899235986943
while the,1.0821770667156005
of the,1.0769836687222443
top,1.0682837923130932
every day,1.0541903113649225
college,1.0449218812055847
the country,1.0424008145911543
lobbyists,1.0370288860680466
spending,1.0176720650286901
weve,1.01159127569443
put,1.0108658551888372
shutdown,1.0073535364578434
says scott,1.0027478339847664
twenty,0.9975001564332359
share,0.9952373780364661
georgias,0.9882275286783617
money from,0.985123725649319
dollar,0.9826089888248996
worth,0.9712960893018117
says donald,0.9685585609616917
highest,0.9664623854875446
lower,0.9573228993871206
corporations,0.9521187074677187
called,0.9487079415332362
romney,0.9459899412230804
